run	val_loss	params_M	status	time_s	improv_%	description
001	4.1895	7.8	keep	600	0.0	baseline: structural tokens, patch32 vdim192 vd3 ldim256 ld4 bs8 lr3e-4
002	4.1338	7.8	keep	600	1.3	lr=3e-3 (10x higher)
003	3.9864	7.8	keep	600	4.8	lr=1e-3
002	4.1176	7.8	keep	600	1.7	lr=3e-3 (10x higher)
003	4.0598	7.8	keep	600	3.1	lr=1e-3
004	4.6965	7.8	discard	600	-12.1	lr=1e-2 (too high, diverged)
005	4.4612	7.8	discard	600	-6.5	bs=16 (fewer steps, worse)
006	3.7428	7.8	keep	600	10.7	bs=4 (2x more steps)
007	3.9629	7.8	discard	600	5.4	wd=0.5 (too much regularization)
008	3.7105	7.8	keep	600	11.4	warmup=50 (faster ramp)
